wl,n,k
0.2066,1.023,2.774
0.2101,1.108,2.831
0.2138,1.209,2.873
0.2175,1.31,2.866
0.2214,1.36,2.846
0.2254,1.38,2.842
0.2296,1.383,2.854
0.2339,1.371,2.897
0.2384,1.364,2.973
0.2431,1.37,3.073
0.248,1.394,3.197
0.253,1.435,3.342
0.2583,1.498,3.509
0.2638,1.586,3.709
0.2695,1.72,3.96
0.2755,1.953,4.297
0.2818,2.516,4.669
0.2883,3.338,4.507
0.2952,3.745,4.009
0.3024,3.869,3.614
0.31,3.905,3.336
0.3179,3.92,3.137
0.3263,3.936,2.986
0.3351,3.958,2.863
0.3444,3.985,2.759
0.3542,4.02,2.667
0.3647,4.07,2.579
0.3757,4.128,2.469
0.3875,4.157,2.34
0.3999,4.141,2.215
0.4133,4.082,2.145
0.4275,4.037,2.14
0.4428,4.035,2.181
0.4592,4.082,2.24
0.4769,4.18,2.309
0.4959,4.34,2.384
0.5166,4.61,2.455
0.5391,5.062,2.318
0.5636,5.283,2.049
0.5904,5.748,1.634
0.6199,5.588,0.933
0.6525,5.294,0.638
0.6888,5.067,0.5
0.7293,4.897,0.401
0.7749,4.763,0.345
0.8266,4.653,0.298
