wl,n,k
0.03107,8.40E-01,5.05E-02
0.03179,8.31E-01,6.49E-02
0.03263,8.34E-01,7.31E-02
0.03351,8.31E-01,7.03E-02
0.03444,8.15E-01,7.07E-02
0.03542,8.01E-01,7.39E-02
0.03646,7.81E-01,7.67E-02
0.03757,7.60E-01,8.63E-02
0.03874,7.37E-01,1.02E-01
0.03999,7.15E-01,1.24E-01
0.04133,6.98E-01,1.48E-01
0.04275,6.81E-01,1.72E-01
0.04428,6.58E-01,2.00E-01
0.04592,6.33E-01,2.31E-01
0.04768,6.02E-01,2.78E-01
0.04959,5.83E-01,3.48E-01
0.05166,5.89E-01,4.31E-01
0.0539,6.28E-01,4.97E-01
0.05635,6.67E-01,5.45E-01
0.05904,7.02E-01,5.87E-01
0.06199,7.49E-01,6.22E-01
0.06525,7.93E-01,6.27E-01
0.06888,8.11E-01,6.28E-01
0.07293,7.91E-01,6.34E-01
0.07749,7.47E-01,6.89E-01
0.08265,7.59E-01,7.95E-01
0.08856,7.93E-01,8.74E-01
0.09537,8.60E-01,9.48E-01
0.1033,8.55E-01,9.76E-01
0.1127,8.23E-01,1.17E+00
0.124,1.00E+00,1.38E+00
0.1305,1.09E+00,1.43E+00
0.1378,1.19E+00,1.49E+00
0.1459,1.28E+00,1.49E+00
0.155,1.38E+00,1.53E+00
0.1653,1.46E+00,1.58E+00
0.1771,1.55E+00,1.64E+00
0.1907,1.69E+00,1.66E+00
0.2066,1.85E+00,1.71E+00
0.2254,2.06E+00,1.64E+00
0.248,2.25E+00,1.54E+00
0.2755,2.31E+00,1.38E+00
0.31,2.27E+00,1.23E+00
0.3542,2.14E+00,1.06E+00
0.4133,1.74E+00,1.04E+00
0.4959,1.20E+00,1.65E+00
0.6199,1.32E+00,2.69E+00
0.8266,1.82E+00,3.81E+00
1.2399,2.69E+00,5.04E+00
2.4797,4.52E+00,8.25E+00
